x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
1.36939 1.86258 0.103493 -0.0585037 -1.30606 1.01924 0 0 0
1.37631 2.03443 0.130905 0.317067 -1.31701 0.17863 0 0 0
1.50647 2.34523 -0.0057288 0.218643 -0.595713 -0.748191 0 0 0
1.64384 2.1371 -0.0666285 -0.340538 2.2707 0.388832 0 0 0
1.50976 1.65179 -0.330164 -0.767182 0.039651 -0.163338 0 0 0
1.34864 0.984989 0.0891304 -0.0670927 0.845955 -0.249376 0 0 0
1.50675 1.27938 -0.0268768 0.219415 -0.442538 -0.0228879 0 0 0
1.58591 1.68982 -0.167222 0.448581 -2.11633 0.267596 0 0 0
1.71734 1.67493 -0.075279 -0.970352 0.00812114 -0.51757 0 0 0
1.88214 1.49363 0.173231 0.242254 -0.854719 -0.737978 0 0 0
1.70386 1.53038 0.184501 0.344265 -0.775182 -1.26529 0 0 0
1.79268 2.01876 -0.171046 0.267681 -1.26484 -1.90839 0 0 0
1.75252 2.03627 0.206107 -0.0731952 1.35409 -1.0589 0 0 0
1.94797 1.89014 -0.200397 -0.102295 0.67886 1.55184 0 0 0
1.5515 1.90398 -0.55439 0.210412 0.422611 0.384177 0 0 0
1.1233 1.97264 -0.230969 0.108151 1.10604 0.757256 0 0 0
1.15259 2.07788 0.0819415 0.150331 0.679656 -0.164377 0 0 0
1.15899 2.11064 -0.219817 0.330655 1.19173 0.763792 0 0 0
1.13121 2.13464 0.582131 0.0689549 2.44081 1.78186 0 0 0
1.51742 2.15866 0.469143 -0.297851 0.864427 0.72202 0 0 0
1.72147 1.91845 -0.215627 -0.683052 -0.119872 0.237012 0 0 0
1.66381 1.56501 0.298906 -0.135892 -1.08599 2.36184 0 0 0
1.88758 1.43212 0.0696854 -0.141591 -0.266712 -0.816583 0 0 0
1.9437 1.65142 -0.0720171 0.340241 0.136234 0.823745 0 0 0
1.5374 1.7105 -0.62792 -0.0841811 -0.577774 -1.34525 0 0 0
1.35754 1.91257 0.287303 0.611079 -0.198651 1.49594 0 0 0
1.68939 1.93121 0.404842 -0.359863 -0.685281 -0.998956 0 0 0
1.72532 1.92209 -0.32784 0.241667 1.085 -0.371846 0 0 0
1.43711 1.97032 0.137655 0.213144 1.56711 -1.00334 0 0 0
1.59655 1.73135 0.281417 -0.348442 -1.54991 -0.279446 0 0 0
1.63793 1.41967 -0.429939 -0.190808 0.296482 -0.147385 0 0 0
1.18281 1.50683 -0.545088 0.014967 1.32418 -1.5988 0 0 0
0.938124 1.92341 0.0719209 0.562628 -0.0545059 1.09302 0 0 0
1.56492 2.11489 0.359412 0.11551 0.447261 0.537735 0 0 0
1.58232 1.59299 -0.0601666 -0.698293 -0.367246 -0.501656 0 0 0
1.85185 1.46359 0.334931 0.0219486 0.964432 -0.131563 0 0 0
1.92909 1.51542 -0.283423 0.160665 -0.0475391 -0.52906 0 0 0
1.54265 1.839 -0.42994 0.195858 -1.79832 -1.27207 0 0 0
1.30487 1.78424 -0.156822 -0.444642 -0.29519 -0.44645 0 0 0
1.02398 1.77498 0.0263146 0.228477 -0.811542 0.343473 0 0 0
1.40109 1.87714 0.682303 -0.34774 0.644168 -0.354423 0 0 0
1.30323 1.80263 -0.532479 0.0546753 -0.199074 0.0275077 0 0 0
1.21077 1.93649 0.105085 0.0166277 0.526879 -1.53608 0 0 0
1.47923 2.15593 0.321248 0.0568964 -0.525771 0.446533 0 0 0
1.78741 1.96141 0.063872 -0.145552 1.53399 1.01011 0 0 0
1.66292 1.60474 0.0156127 0.108954 0.713624 -0.433901 0 0 0
1.74267 1.61112 0.0347527 0.0133931 -1.82126 -0.676681 0 0 0
1.56455 1.72057 -0.227623 -0.117689 1.0018 -0.227793 0 0 0
1.43821 1.62647 0.411053 0.0956965 1.23103 -0.445548 0 0 0
1.85491 1.55202 0.273433 -0.176865 -0.694873 -0.492213 0 0 0
1.66248 1.62724 -0.294247 0.297928 0.888027 -2.01714 0 0 0
1.5047 1.8985 -0.0686701 0.0701983 -0.152243 -0.623301 0 0 0
1.42426 1.54401 -0.0682655 -0.0745727 1.2254 1.55415 0 0 0
1.38081 1.71674 -0.360946 0.336935 -0.462785 1.8035 0 0 0
1.45798 1.61394 0.422236 -0.496618 -0.252742 0.166704 0 0 0
1.69106 1.51582 -0.258852 0.42764 1.04959 -0.908333 0 0 0
1.31064 1.99807 0.105361 0.179741 -0.376185 0.263395 0 0 0
1.46647 2.38293 0.366631 0.016895 -0.784884 1.6766 0 0 0
1.69702 2.01432 0.339129 -0.607162 -0.484677 0.829719 0 0 0
1.83501 1.66302 -0.171968 -0.21226 -1.73351 0.258836 0 0 0
1.38824 1.59185 -0.538447 -0.0425233 1.41355 -1.12998 0 0 0
1.26056 1.45051 -0.221248 0.371368 -0.976566 0.617827 0 0 0
1.33775 1.91795 0.190418 0.320157 -1.4525 0.80168 0 0 0
1.47384 2.06539 0.0283204 -0.453396 -3.14262 -0.662024 0 0 0
1.48096 1.66856 -0.058004 -0.0360295 -0.171013 1.38575 0 0 0
1.43184 1.73973 0.184729 -0.0926012 -0.509445 -1.28937 0 0 0
1.57059 1.80282 0.272298 0.103096 -0.814473 -0.0730374 0 0 0
1.79655 1.88464 0.222087 0.340832 0.179375 -0.341914 0 0 0
1.92632 1.98513 -0.231981 -0.102577 1.44026 0.870261 0 0 0
2.04726 2.13466 0.372375 -0.0216731 0.232737 -1.48555 0 0 0
2.04475 2.06272 -0.176238 -0.00923344 -0.585248 -0.986441 0 0 0
1.6021 1.89157 -0.205012 0.0907184 -0.0875286 -0.0816544 0 0 0
1.61057 1.96528 0.433622 0.0273053 1.49401 -0.691672 0 0 0
1.97392 1.88668 0.359302 -0.122695 -0.566705 1.34619 0 0 0
1.97041 1.85325 -0.873441 0.417509 0.237785 1.93684 0 0 0
1.30247 2.03532 -0.274257 0.29306 0.0829134 0.0847152 0 0 0
1.05183 2.16476 -0.325686 0.119314 2.96437 0.828796 0 0 0
